2020-11-17 19:02:45 INFO  eBanking:25 - Before Login Screenshot
2020-11-17 19:02:47 INFO  eBanking:28 - After Login Screenshot
2020-11-17 19:02:51 INFO  eBanking:35 - Taking Screenshots
2020-11-17 19:02:51 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-02 23:25:23 INFO  eBanking:17 - Launch Banking App
2020-12-02 23:25:29 INFO  eBanking:22 - Entered Username
2020-12-02 23:25:29 INFO  eBanking:24 - Entered Password
2020-12-02 23:25:29 INFO  eBanking:25 - Before Login Screenshot
2020-12-02 23:25:33 INFO  eBanking:28 - After Login Screenshot
2020-12-02 23:25:36 INFO  eBanking:35 - Taking Screenshots
2020-12-02 23:25:37 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-07 17:33:56 INFO  eBanking:17 - Launch Banking App
2020-12-07 17:34:00 INFO  eBanking:22 - Entered Username
2020-12-07 17:34:00 INFO  eBanking:24 - Entered Password
2020-12-07 17:34:00 INFO  eBanking:25 - Before Login Screenshot
2020-12-07 17:34:02 INFO  eBanking:28 - After Login Screenshot
2020-12-07 17:34:06 INFO  eBanking:35 - Taking Screenshots
2020-12-07 17:34:06 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-07 17:35:15 INFO  eBanking:17 - Launch Banking App
2020-12-07 17:35:19 INFO  eBanking:22 - Entered Username
2020-12-07 17:35:19 INFO  eBanking:24 - Entered Password
2020-12-07 17:35:19 INFO  eBanking:25 - Before Login Screenshot
2020-12-07 17:35:21 INFO  eBanking:28 - After Login Screenshot
2020-12-07 17:35:25 INFO  eBanking:35 - Taking Screenshots
2020-12-07 17:35:25 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-08 10:48:49 INFO  eBanking:17 - Launch Banking App
2020-12-08 10:48:53 INFO  eBanking:22 - Entered Username
2020-12-08 10:48:53 INFO  eBanking:24 - Entered Password
2020-12-08 10:48:53 INFO  eBanking:25 - Before Login Screenshot
2020-12-08 10:48:56 INFO  eBanking:28 - After Login Screenshot
2020-12-08 10:49:00 INFO  eBanking:35 - Taking Screenshots
2020-12-08 10:49:00 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-08 10:55:56 INFO  eBanking:17 - Launch Banking App
2020-12-08 10:56:00 INFO  eBanking:22 - Entered Username
2020-12-08 10:56:00 INFO  eBanking:24 - Entered Password
2020-12-08 10:56:00 INFO  eBanking:25 - Before Login Screenshot
2020-12-08 10:56:02 INFO  eBanking:28 - After Login Screenshot
2020-12-08 10:56:06 INFO  eBanking:35 - Taking Screenshots
2020-12-08 10:56:06 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-08 13:30:29 INFO  eBanking:17 - Launch Banking App
2020-12-08 13:30:32 INFO  eBanking:22 - Entered Username
2020-12-08 13:30:32 INFO  eBanking:24 - Entered Password
2020-12-08 13:30:32 INFO  eBanking:25 - Before Login Screenshot
2020-12-08 13:30:37 INFO  eBanking:28 - After Login Screenshot
2020-12-08 13:30:40 INFO  eBanking:35 - Taking Screenshots
2020-12-08 13:30:41 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-08 13:43:22 INFO  eBanking:17 - Launch Banking App
2020-12-08 13:43:24 INFO  eBanking:22 - Entered Username
